Instance,Time,Best Int.,Best Val.,MIP Gap,Nodes,Nodes Left,Constraint Branching,Varaible Branching,Seed,Threads,Callback,Branching,constraintBranchVer,delta,lookAhead,Reverse,RepeatedFirst,Sort,Average,PreprocessingPercentage
../Dataset/ReducedLP/scpclr11_reduced.lp,1285.363925,23.000000,23.000000,0.000000,674824,0,14799,330969,1867,4,1,1,3,5.0,100,0,1,0,0,0.023553
../Dataset/ReducedLP/scpclr11_reduced.lp,1402.912319,23.000000,23.000000,0.000000,723580,0,14670,357846,3363,4,1,1,3,5.0,100,0,1,0,0,0.021817
../Dataset/ReducedLP/scpclr11_reduced.lp,1346.940430,23.000000,23.000000,0.000000,703113,0,18304,336638,6822,4,1,1,3,5.0,100,0,1,0,0,0.022568
../Dataset/ReducedLP/scpclr11_reduced.lp,1508.012364,23.000000,23.000000,0.000000,765932,0,25729,369595,8927,4,1,1,3,5.0,100,0,1,0,0,0.020025
../Dataset/ReducedLP/scpclr11_reduced.lp,1617.523834,23.000000,23.000000,0.000000,780274,0,47517,346587,9397,4,1,1,3,5.0,100,0,1,0,0,0.018926
../Dataset/ReducedLP/scpclr11_reduced.lp,1392.951319,23.000000,23.000000,0.000000,728428,0,20853,348688,338,4,1,1,3,5.0,100,0,1,0,0,0.021778
../Dataset/ReducedLP/scpclr11_reduced.lp,1758.428944,23.000000,23.000000,0.000000,861508,0,59059,377515,1997,4,1,1,3,5.0,100,0,1,0,0,0.017710
../Dataset/ReducedLP/scpclr11_reduced.lp,1517.720342,23.000000,23.000000,0.000000,782468,0,17793,381428,5538,4,1,1,3,5.0,100,0,1,0,0,0.019806
../Dataset/ReducedLP/scpclr11_reduced.lp,1731.391544,23.000000,23.000000,0.000000,951154,0,16447,557936,8007,4,1,1,3,5.0,100,0,1,0,0,0.017854
../Dataset/ReducedLP/scpclr11_reduced.lp,1439.680997,23.000000,23.000000,0.000000,736971,0,39228,354855,8957,4,1,1,3,5.0,100,0,1,0,0,0.021515
