Instance,Time,Best Int.,Best Val.,MIP Gap,Nodes,Nodes Left,Constraint Branching,Varaible Branching,Seed,Threads,Callback,Branching,constraintBranchVer,delta,lookAhead,Reverse,RepeatedFirst,Sort,Average,PreprocessingPercentage
../Dataset/ReducedLP/scpb2_reduced.lp,0.451051,76.000000,76.000000,0.000000,376,0,39,154,1867,4,1,1,3,5.0,200,0,1,0,0,5.928064
../Dataset/ReducedLP/scpb2_reduced.lp,0.548423,76.000000,76.000000,0.000000,733,0,65,354,3363,4,1,1,3,5.0,200,0,1,0,0,5.634583
../Dataset/ReducedLP/scpb2_reduced.lp,0.446752,76.000000,76.000000,0.000000,397,0,38,168,6822,4,1,1,3,5.0,200,0,1,0,0,5.711888
../Dataset/ReducedLP/scpb2_reduced.lp,0.468522,76.000000,76.000000,0.000000,554,0,51,238,8927,4,1,1,3,5.0,200,0,1,0,0,5.968340
../Dataset/ReducedLP/scpb2_reduced.lp,0.484154,76.000000,76.000000,0.000000,487,0,35,226,9397,4,1,1,3,5.0,200,0,1,0,0,5.567277
../Dataset/ReducedLP/scpb2_reduced.lp,0.462533,76.000000,76.000000,0.000000,509,0,36,235,338,4,1,1,3,5.0,200,0,1,0,0,6.243107
../Dataset/ReducedLP/scpb2_reduced.lp,0.467816,76.000000,76.000000,0.000000,457,0,34,208,1997,4,1,1,3,5.0,200,0,1,0,0,5.792353
../Dataset/ReducedLP/scpb2_reduced.lp,0.463039,76.000000,76.000000,0.000000,528,0,46,228,5538,4,1,1,3,5.0,200,0,1,0,0,6.375757
../Dataset/ReducedLP/scpb2_reduced.lp,0.483849,76.000000,76.000000,0.000000,475,0,34,214,8007,4,1,1,3,5.0,200,0,1,0,0,5.840163
../Dataset/ReducedLP/scpb2_reduced.lp,0.469815,76.000000,76.000000,0.000000,465,0,42,198,8957,4,1,1,3,5.0,200,0,1,0,0,6.022472
