Instance,Time,Best Int.,Best Val.,MIP Gap,Nodes,Nodes Left,Constraint Branching,Varaible Branching,Seed,Threads,Callback,Branching,constraintBranchVer,delta,lookAhead,Reverse,RepeatedFirst,Sort,Average,PreprocessingPercentage
../Dataset/ReducedLP/scpnrg2_reduced.lp,1305.367300,154.000000,154.000000,0.000000,1027265,0,14152,544698,1867,4,1,1,3,5.0,50,0,1,0,0,0.038893
../Dataset/ReducedLP/scpnrg2_reduced.lp,379.554692,154.000000,154.000000,0.000000,253830,0,5321,127513,6822,4,1,1,3,5.0,50,0,1,0,0,0.134339
../Dataset/ReducedLP/scpnrg2_reduced.lp,2653.750009,154.000000,154.000000,0.000000,2003266,0,30812,1244174,3363,4,1,1,3,5.0,50,0,1,0,0,0.019336
../Dataset/ReducedLP/scpnrg2_reduced.lp,623.657954,154.000000,154.000000,0.000000,479092,0,3493,288318,9397,4,1,1,3,5.0,50,0,1,0,0,0.081536
../Dataset/ReducedLP/scpnrg2_reduced.lp,1584.989448,154.000000,154.000000,0.000000,1235741,0,7125,757691,8927,4,1,1,3,5.0,50,0,1,0,0,0.031891
../Dataset/ReducedLP/scpnrg2_reduced.lp,1246.708956,154.000000,154.000000,0.000000,883256,0,13811,546826,338,4,1,1,3,5.0,50,0,1,0,0,0.040521
../Dataset/ReducedLP/scpnrg2_reduced.lp,917.893122,154.000000,154.000000,0.000000,648726,0,19730,390119,5538,4,1,1,3,5.0,50,0,1,0,0,0.055496
../Dataset/ReducedLP/scpnrg2_reduced.lp,799.118392,154.000000,154.000000,0.000000,586786,0,7185,353824,8007,4,1,1,3,5.0,50,0,1,0,0,0.063213
../Dataset/ReducedLP/scpnrg2_reduced.lp,3600.518107,155.000000,153.241574,0.011345,2705820,531485,42448,1599257,1997,4,1,1,3,5.0,50,0,1,0,0,0.014163
../Dataset/ReducedLP/scpnrg2_reduced.lp,1229.386358,154.000000,154.000000,0.000000,963897,0,13565,513403,8957,4,1,1,3,5.0,50,0,1,0,0,0.041199
