Instance,Seed,NodeIndex,Gap,depth,percentageFracVars
../Dataset/ReducedLP/scpb4_reduced.lp,8927,0,0.088608,0,27.878788
../Dataset/ReducedLP/scpb4_reduced.lp,8927,1,0.075949,1,27.272727
../Dataset/ReducedLP/scpb4_reduced.lp,8927,4,0.063291,2,24.848485
../Dataset/ReducedLP/scpb4_reduced.lp,8927,5,0.063291,3,24.848485
../Dataset/ReducedLP/scpb4_reduced.lp,8927,12,0.050633,4,25.151515
../Dataset/ReducedLP/scpb4_reduced.lp,8927,18,0.050633,5,25.151515
../Dataset/ReducedLP/scpb4_reduced.lp,8927,24,0.025316,6,22.424242
../Dataset/ReducedLP/scpb4_reduced.lp,8927,35,0.025316,7,21.212121
../Dataset/ReducedLP/scpb4_reduced.lp,8927,36,0.025316,8,21.212121
../Dataset/ReducedLP/scpb4_reduced.lp,8927,44,0.050633,4,26.363636
../Dataset/ReducedLP/scpb4_reduced.lp,8927,50,0.037975,5,25.151515
../Dataset/ReducedLP/scpb4_reduced.lp,8927,51,0.037975,6,25.151515
../Dataset/ReducedLP/scpb4_reduced.lp,8927,52,0.037975,7,26.363636
../Dataset/ReducedLP/scpb4_reduced.lp,8927,4,0.037975,2,24.545455
../Dataset/ReducedLP/scpb4_reduced.lp,8927,5,0.037975,3,24.545455
../Dataset/ReducedLP/scpb4_reduced.lp,8927,9,0.037975,4,23.030303
../Dataset/ReducedLP/scpb4_reduced.lp,8927,10,0.037975,5,23.030303
../Dataset/ReducedLP/scpb4_reduced.lp,8927,11,0.037975,6,21.818182
../Dataset/ReducedLP/scpb4_reduced.lp,8927,23,0.012658,5,13.030303
../Dataset/ReducedLP/scpb4_reduced.lp,8927,24,0.012658,6,13.030303
../Dataset/ReducedLP/scpb4_reduced.lp,8927,31,0.037975,6,20.000000
../Dataset/ReducedLP/scpb4_reduced.lp,8927,36,0.037975,7,19.393939
../Dataset/ReducedLP/scpb4_reduced.lp,8927,37,0.037975,8,19.393939
../Dataset/ReducedLP/scpb4_reduced.lp,8927,48,0.012658,9,8.484848
../Dataset/ReducedLP/scpb4_reduced.lp,8927,49,0.012658,10,8.484848
../Dataset/ReducedLP/scpb4_reduced.lp,8927,3,0.037975,3,23.030303
../Dataset/ReducedLP/scpb4_reduced.lp,8927,4,0.037975,4,23.030303
../Dataset/ReducedLP/scpb4_reduced.lp,8927,15,0.037975,4,24.545455
../Dataset/ReducedLP/scpb4_reduced.lp,8927,16,0.037975,5,24.545455
../Dataset/ReducedLP/scpb4_reduced.lp,8927,20,0.037975,6,20.909091
../Dataset/ReducedLP/scpb4_reduced.lp,8927,21,0.037975,7,20.909091
../Dataset/ReducedLP/scpb4_reduced.lp,8927,40,0.037975,7,17.272727
../Dataset/ReducedLP/scpb4_reduced.lp,8927,41,0.037975,8,17.272727
../Dataset/ReducedLP/scpb4_reduced.lp,8927,45,0.037975,9,16.363636
../Dataset/ReducedLP/scpb4_reduced.lp,8927,46,0.037975,10,16.363636
../Dataset/ReducedLP/scpb4_reduced.lp,8927,66,0.037975,8,25.151515
../Dataset/ReducedLP/scpb4_reduced.lp,8927,67,0.037975,9,25.151515
../Dataset/ReducedLP/scpb4_reduced.lp,8927,68,0.025316,10,24.242424
../Dataset/ReducedLP/scpb4_reduced.lp,8927,79,0.025316,11,21.818182
../Dataset/ReducedLP/scpb4_reduced.lp,8927,1,0.063291,1,26.060606
../Dataset/ReducedLP/scpb4_reduced.lp,8927,2,0.063291,2,26.060606
../Dataset/ReducedLP/scpb4_reduced.lp,8927,3,0.063291,3,26.060606
../Dataset/ReducedLP/scpb4_reduced.lp,8927,7,0.050633,4,26.363636
../Dataset/ReducedLP/scpb4_reduced.lp,8927,15,0.050633,5,24.545455
../Dataset/ReducedLP/scpb4_reduced.lp,8927,22,0.050633,6,24.545455
../Dataset/ReducedLP/scpb4_reduced.lp,8927,32,0.050633,7,24.545455
../Dataset/ReducedLP/scpb4_reduced.lp,8927,40,0.050633,8,24.545455
../Dataset/ReducedLP/scpb4_reduced.lp,8927,48,0.037975,9,23.939394
../Dataset/ReducedLP/scpb4_reduced.lp,8927,49,0.037975,10,23.939394
../Dataset/ReducedLP/scpb4_reduced.lp,8927,50,0.037975,11,22.727273
../Dataset/ReducedLP/scpb4_reduced.lp,8927,62,0.037975,12,21.212121
../Dataset/ReducedLP/scpb4_reduced.lp,8927,63,0.037975,13,21.212121
../Dataset/ReducedLP/scpb4_reduced.lp,8927,64,0.025316,14,20.303030
../Dataset/ReducedLP/scpb4_reduced.lp,8927,70,0.025316,15,20.303030
../Dataset/ReducedLP/scpb4_reduced.lp,8927,71,0.012658,16,20.000000
