Instance,Seed,NodeIndex,Gap,depth,percentageFracVars
../Dataset/ReducedLP/scpc2_reduced.lp,1867,0,0.022831,0,33.753149
../Dataset/ReducedLP/scpc2_reduced.lp,1867,1,0.022831,1,33.249370
../Dataset/ReducedLP/scpc2_reduced.lp,1867,3,0.013699,2,31.234257
../Dataset/ReducedLP/scpc2_reduced.lp,1867,4,0.013699,3,31.234257
../Dataset/ReducedLP/scpc2_reduced.lp,1867,5,0.009132,4,27.204030
../Dataset/ReducedLP/scpc2_reduced.lp,1867,6,0.009132,5,27.204030
../Dataset/ReducedLP/scpc2_reduced.lp,1867,7,0.004566,6,26.196474
../Dataset/ReducedLP/scpc2_reduced.lp,1867,8,0.004566,7,26.196474
../Dataset/ReducedLP/scpc2_reduced.lp,1867,5,0.004566,4,24.181360
../Dataset/ReducedLP/scpc2_reduced.lp,1867,6,0.004566,5,24.181360
../Dataset/ReducedLP/scpc2_reduced.lp,1867,9,0.004566,6,24.937028
../Dataset/ReducedLP/scpc2_reduced.lp,1867,14,0.004566,7,22.670025
../Dataset/ReducedLP/scpc2_reduced.lp,1867,15,0.004566,8,24.685139
../Dataset/ReducedLP/scpc2_reduced.lp,1867,3,0.013699,2,30.478589
../Dataset/ReducedLP/scpc2_reduced.lp,1867,4,0.013699,3,30.478589
../Dataset/ReducedLP/scpc2_reduced.lp,1867,11,0.004566,4,28.211587
../Dataset/ReducedLP/scpc2_reduced.lp,1867,20,0.004566,5,28.211587
