Instance,Seed,NodeIndex,Gap,depth,percentageFracVars
../Dataset/ReducedLP/scpnre1_reduced.lp,9397,0,0.241379,0,20.448878
../Dataset/ReducedLP/scpnre1_reduced.lp,9397,1,0.241379,1,19.700748
../Dataset/ReducedLP/scpnre1_reduced.lp,9397,2,0.206897,2,18.703242
../Dataset/ReducedLP/scpnre1_reduced.lp,9397,4,0.206897,3,20.448878
../Dataset/ReducedLP/scpnre1_reduced.lp,9397,7,0.206897,4,21.197007
../Dataset/ReducedLP/scpnre1_reduced.lp,9397,11,0.172414,5,20.698254
../Dataset/ReducedLP/scpnre1_reduced.lp,9397,18,0.172414,5,19.950125
../Dataset/ReducedLP/scpnre1_reduced.lp,9397,19,0.137931,6,18.703242
../Dataset/ReducedLP/scpnre1_reduced.lp,9397,30,0.137931,7,18.204489
../Dataset/ReducedLP/scpnre1_reduced.lp,9397,31,0.137931,8,19.451372
../Dataset/ReducedLP/scpnre1_reduced.lp,9397,39,0.103448,8,16.458853
../Dataset/ReducedLP/scpnre1_reduced.lp,9397,40,0.103448,9,16.708229
../Dataset/ReducedLP/scpnre1_reduced.lp,9397,50,0.068966,9,14.463840
../Dataset/ReducedLP/scpnre1_reduced.lp,9397,51,0.103448,10,16.458853
../Dataset/ReducedLP/scpnre1_reduced.lp,9397,52,0.103448,11,15.461347
../Dataset/ReducedLP/scpnre1_reduced.lp,9397,53,0.103448,12,16.209476
../Dataset/ReducedLP/scpnre1_reduced.lp,9397,65,0.034483,12,13.216958
../Dataset/ReducedLP/scpnre1_reduced.lp,9397,66,0.034483,13,13.216958
../Dataset/ReducedLP/scpnre1_reduced.lp,9397,69,0.172414,4,18.453865
../Dataset/ReducedLP/scpnre1_reduced.lp,9397,70,0.172414,5,17.705736
../Dataset/ReducedLP/scpnre1_reduced.lp,9397,85,0.137931,6,19.451372
../Dataset/ReducedLP/scpnre1_reduced.lp,9397,86,0.137931,6,16.209476
../Dataset/ReducedLP/scpnre1_reduced.lp,9397,87,0.137931,7,16.209476
../Dataset/ReducedLP/scpnre1_reduced.lp,9397,88,0.103448,7,15.461347
../Dataset/ReducedLP/scpnre1_reduced.lp,9397,97,0.103448,8,15.461347
../Dataset/ReducedLP/scpnre1_reduced.lp,9397,98,0.103448,9,15.710723
../Dataset/ReducedLP/scpnre1_reduced.lp,9397,99,0.103448,9,14.962594
../Dataset/ReducedLP/scpnre1_reduced.lp,9397,100,0.068966,10,12.219451
../Dataset/ReducedLP/scpnre1_reduced.lp,9397,120,0.068966,11,11.970075
../Dataset/ReducedLP/scpnre1_reduced.lp,9397,121,0.068966,12,11.970075
../Dataset/ReducedLP/scpnre1_reduced.lp,9397,122,0.068966,13,12.219451
../Dataset/ReducedLP/scpnre1_reduced.lp,9397,123,0.034483,13,8.229426
../Dataset/ReducedLP/scpnre1_reduced.lp,9397,124,0.034483,14,8.229426
../Dataset/ReducedLP/scpnre1_reduced.lp,9397,127,0.137931,4,20.698254
../Dataset/ReducedLP/scpnre1_reduced.lp,9397,128,0.137931,5,21.695761
../Dataset/ReducedLP/scpnre1_reduced.lp,9397,142,0.137931,6,20.199501
../Dataset/ReducedLP/scpnre1_reduced.lp,9397,143,0.137931,7,20.199501
../Dataset/ReducedLP/scpnre1_reduced.lp,9397,144,0.137931,8,21.695761
../Dataset/ReducedLP/scpnre1_reduced.lp,9397,145,0.103448,9,20.199501
../Dataset/ReducedLP/scpnre1_reduced.lp,9397,168,0.103448,10,20.199501
../Dataset/ReducedLP/scpnre1_reduced.lp,9397,169,0.103448,11,20.199501
