Instance,Seed,NodeIndex,Gap,depth,percentageFracVars
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,0,0.266667,0,24.124514
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,1,0.266667,1,24.902724
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,3,0.266667,2,24.902724
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,9,0.266667,3,22.568093
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,13,0.266667,4,23.735409
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,28,0.200000,5,19.844358
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,36,0.200000,6,19.844358
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,41,0.133333,6,14.785992
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,42,0.200000,7,18.677043
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,43,0.200000,8,19.455253
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,67,0.200000,8,17.120623
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,68,0.200000,9,19.066148
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,69,0.133333,9,16.342412
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,73,0.133333,10,16.731518
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,74,0.066667,10,13.229572
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,75,0.133333,11,15.564202
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,76,0.133333,11,15.953307
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,93,0.133333,12,15.953307
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,94,0.133333,13,13.618677
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,95,0.133333,14,13.618677
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,96,0.066667,15,12.840467
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,98,0.066667,16,12.840467
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,100,0.066667,17,11.673152
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,102,0.200000,5,24.902724
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,123,0.200000,6,24.124514
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,124,0.133333,6,19.455253
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,148,0.133333,7,19.455253
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,149,0.133333,8,19.455253
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,150,0.133333,9,19.066148
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,151,0.133333,10,19.066148
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,152,0.133333,11,17.120623
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,172,0.133333,11,16.731518
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,173,0.133333,12,16.731518
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,174,0.133333,13,16.731518
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,176,0.133333,14,16.731518
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,177,0.133333,15,16.731518
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,178,0.066667,15,15.564202
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,179,0.133333,16,16.342412
