Instance,Time,Best Int.,Best Val.,MIP Gap,Nodes,Nodes Left,Constraint Branching,Varaible Branching,Seed,Threads,Callback,Branching,constraintBranchVer,delta,lookAhead,Reverse,RepeatedFirst,Sort,Average,PreprocessingPercentage
../Dataset/ReducedLP/scpc2_reduced.lp,0.97803,219.0,219.0,0.0,134,0,0,95,1867,4,1,0,0,0.0,0,0,0,0,0,30.952228
../Dataset/ReducedLP/scpc2_reduced.lp,0.318048,219.0,219.0,0.0,36,0,0,22,3363,4,1,0,0,0.0,0,0,0,0,0,2.819856
../Dataset/ReducedLP/scpc2_reduced.lp,0.36693400000000004,219.0,219.0,0.0,43,0,0,29,6822,4,1,0,0,0.0,0,0,0,0,0,2.263477
../Dataset/ReducedLP/scpc2_reduced.lp,0.34136500000000003,219.0,219.0,0.0,37,0,0,25,8927,4,1,0,0,0.0,0,0,0,0,0,2.0810400000000002
../Dataset/ReducedLP/scpc2_reduced.lp,0.349159,219.0,219.0,0.0,88,0,0,56,9397,4,1,0,0,0.0,0,0,0,0,0,2.093995
../Dataset/ReducedLP/scpc2_reduced.lp,0.9675959999999999,219.0,219.0,0.0,37,0,0,24,338,4,1,0,0,0.0,0,0,0,0,0,43.68029
../Dataset/ReducedLP/scpc2_reduced.lp,0.354241,219.0,219.0,0.0,46,0,0,30,1997,4,1,0,0,0.0,0,0,0,0,0,2.53783
../Dataset/ReducedLP/scpc2_reduced.lp,0.351648,219.0,219.0,0.0,43,0,0,28,5538,4,1,0,0,0.0,0,0,0,0,0,2.33181
../Dataset/ReducedLP/scpc2_reduced.lp,0.35070500000000004,219.0,219.0,0.0,91,0,0,55,8007,4,1,0,0,0.0,0,0,0,0,0,2.286598
../Dataset/ReducedLP/scpc2_reduced.lp,0.345288,219.0,219.0,0.0,90,0,0,56,8957,4,1,0,0,0.0,0,0,0,0,0,2.4618439999999997
