Instance,Time,Best Int.,Best Val.,MIP Gap,Nodes,Nodes Left,Constraint Branching,Varaible Branching,Seed,Threads,Callback,Branching,constraintBranchVer,delta,lookAhead,Reverse,RepeatedFirst,Sort,Average,PreprocessingPercentage
../Dataset/ReducedLP/scpnrg2_reduced.lp,450.374778,154.000000,154.000000,0.000000,313259,0,6006,163040,6822,4,1,1,3,5.0,100,0,1,0,0,0.112958
../Dataset/ReducedLP/scpnrg2_reduced.lp,2055.190734,154.000000,154.000000,0.000000,1563113,0,28881,930064,3363,4,1,1,3,5.0,100,0,1,0,0,0.024736
../Dataset/ReducedLP/scpnrg2_reduced.lp,2861.915931,154.000000,154.000000,0.000000,2116139,0,50519,1318682,1867,4,1,1,3,5.0,100,0,1,0,0,0.017888
../Dataset/ReducedLP/scpnrg2_reduced.lp,407.466714,154.000000,154.000000,0.000000,284520,0,4869,151388,9397,4,1,1,3,5.0,100,0,1,0,0,0.125108
../Dataset/ReducedLP/scpnrg2_reduced.lp,1200.213343,154.000000,154.000000,0.000000,926171,0,11833,497503,8927,4,1,1,3,5.0,100,0,1,0,0,0.042689
../Dataset/ReducedLP/scpnrg2_reduced.lp,1118.502015,154.000000,154.000000,0.000000,758537,0,18342,456628,338,4,1,1,3,5.0,100,0,1,0,0,0.045423
../Dataset/ReducedLP/scpnrg2_reduced.lp,1246.556956,154.000000,154.000000,0.000000,969843,0,14884,495512,1997,4,1,1,3,5.0,100,0,1,0,0,0.040720
../Dataset/ReducedLP/scpnrg2_reduced.lp,842.978009,154.000000,154.000000,0.000000,607912,0,15546,366831,5538,4,1,1,3,5.0,100,0,1,0,0,0.060286
../Dataset/ReducedLP/scpnrg2_reduced.lp,1005.711960,154.000000,154.000000,0.000000,725175,0,17176,438860,8007,4,1,1,3,5.0,100,0,1,0,0,0.050546
../Dataset/ReducedLP/scpnrg2_reduced.lp,3560.807689,154.000000,154.000000,0.000000,2594395,0,46985,1427242,8957,4,1,1,3,5.0,100,0,1,0,0,0.014262
