Instance,Time,Best Int.,Best Val.,MIP Gap,Nodes,Nodes Left,Constraint Branching,Varaible Branching,Seed,Threads,Callback,Branching,constraintBranchVer,delta,lookAhead,Reverse,RepeatedFirst,Sort,Average,PreprocessingPercentage
../Dataset/ReducedLP/scpb4_reduced.lp,0.519497,79.0,79.0,0.0,690,0,33,323,338,4,1,1,3,5.0,100,0,1,0,0,6.3846870000000004
../Dataset/ReducedLP/scpb4_reduced.lp,0.6105149999999999,79.0,79.0,0.0,1066,0,38,592,1867,4,1,1,3,5.0,100,0,1,0,0,5.68007
../Dataset/ReducedLP/scpb4_reduced.lp,0.581675,79.0,79.0,0.0,787,0,32,422,1997,4,1,1,3,5.0,100,0,1,0,0,5.376888
../Dataset/ReducedLP/scpb4_reduced.lp,0.52308,79.0,79.0,0.0,741,0,58,333,3363,4,1,1,3,5.0,100,0,1,0,0,6.773250999999999
../Dataset/ReducedLP/scpb4_reduced.lp,0.529315,79.0,79.0,0.0,671,0,17,353,5538,4,1,1,3,5.0,100,0,1,0,0,6.045271
../Dataset/ReducedLP/scpb4_reduced.lp,0.525513,79.0,79.0,0.0,686,0,36,318,6822,4,1,1,3,5.0,100,0,1,0,0,6.905237
../Dataset/ReducedLP/scpb4_reduced.lp,0.523913,79.0,79.0,0.0,695,0,43,329,8007,4,1,1,3,5.0,100,0,1,0,0,5.694179
../Dataset/ReducedLP/scpb4_reduced.lp,0.493758,79.0,79.0,0.0,672,0,45,314,8927,4,1,1,3,5.0,100,0,1,0,0,6.206077
../Dataset/ReducedLP/scpb4_reduced.lp,0.515338,79.0,79.0,0.0,682,0,48,306,8957,4,1,1,3,5.0,100,0,1,0,0,6.694539999999999
../Dataset/ReducedLP/scpb4_reduced.lp,0.5535479999999999,79.0,79.0,0.0,603,0,38,274,9397,4,1,1,3,5.0,100,0,1,0,0,6.296641
