Instance,Time,Best Int.,Best Val.,MIP Gap,Nodes,Nodes Left,Constraint Branching,Varaible Branching,Seed,Threads,Callback,Branching,constraintBranchVer,delta,lookAhead,Reverse,RepeatedFirst,Sort,Average,PreprocessingPercentage
../Dataset/ReducedLP/scpclr10_reduced.lp,24.481091,25.0,25.0,0.0,60080,0,3454,27541,338,4,1,1,3,5.0,100,0,1,0,0,0.161849
../Dataset/ReducedLP/scpclr10_reduced.lp,16.383505,25.0,25.0,0.0,38954,0,4029,15946,1867,4,1,1,3,5.0,100,0,1,0,0,0.24941300000000002
../Dataset/ReducedLP/scpclr10_reduced.lp,7.904717,25.0,25.0,0.0,19354,0,915,9367,1997,4,1,1,3,5.0,100,0,1,0,0,0.493302
../Dataset/ReducedLP/scpclr10_reduced.lp,11.305491,25.0,25.0,0.0,26670,0,2590,11099,3363,4,1,1,3,5.0,100,0,1,0,0,0.398007
../Dataset/ReducedLP/scpclr10_reduced.lp,14.989118,25.0,25.0,0.0,37322,0,2135,17239,5538,4,1,1,3,5.0,100,0,1,0,0,0.27474699999999996
../Dataset/ReducedLP/scpclr10_reduced.lp,12.279876,25.0,25.0,0.0,28103,0,1749,13424,6822,4,1,1,3,5.0,100,0,1,0,0,0.371229
../Dataset/ReducedLP/scpclr10_reduced.lp,27.937753999999998,25.0,25.0,0.0,68163,0,5442,29584,8007,4,1,1,3,5.0,100,0,1,0,0,0.14321099999999998
../Dataset/ReducedLP/scpclr10_reduced.lp,15.921183,25.0,25.0,0.0,39018,0,3372,16635,8927,4,1,1,3,5.0,100,0,1,0,0,0.258133
../Dataset/ReducedLP/scpclr10_reduced.lp,12.993456,25.0,25.0,0.0,33556,0,2187,15031,8957,4,1,1,3,5.0,100,0,1,0,0,0.346433
../Dataset/ReducedLP/scpclr10_reduced.lp,6.056568,25.0,25.0,0.0,14972,0,782,7809,9397,4,1,1,3,5.0,100,0,1,0,0,0.7546
