Instance,Time,Best Int.,Best Val.,MIP Gap,Nodes,Nodes Left,Constraint Branching,Varaible Branching,Seed,Threads,Callback,Branching,constraintBranchVer,delta,lookAhead,Reverse,RepeatedFirst,Sort,Average,PreprocessingPercentage
../Dataset/ReducedLP/scpd4_reduced.lp,0.652151,62.0,62.0,0.0,583,0,27,315,338,4,1,1,3,5.0,100,0,1,0,0,6.715248
../Dataset/ReducedLP/scpd4_reduced.lp,0.7919689999999999,62.0,62.0,0.0,1017,0,61,633,1867,4,1,1,3,5.0,100,0,1,0,0,6.238441000000001
../Dataset/ReducedLP/scpd4_reduced.lp,0.71299,62.0,62.0,0.0,435,0,33,190,1997,4,1,1,3,5.0,100,0,1,0,0,6.210869000000001
../Dataset/ReducedLP/scpd4_reduced.lp,0.5912729999999999,62.0,62.0,0.0,461,0,45,190,3363,4,1,1,3,5.0,100,0,1,0,0,7.628288
../Dataset/ReducedLP/scpd4_reduced.lp,0.6207699999999999,62.0,62.0,0.0,344,0,33,149,5538,4,1,1,3,5.0,100,0,1,0,0,7.4715110000000005
../Dataset/ReducedLP/scpd4_reduced.lp,0.721268,62.0,62.0,0.0,630,0,44,367,6822,4,1,1,3,5.0,100,0,1,0,0,6.889182000000001
../Dataset/ReducedLP/scpd4_reduced.lp,0.689248,62.0,62.0,0.0,526,0,23,317,8007,4,1,1,3,5.0,100,0,1,0,0,6.368126999999999
../Dataset/ReducedLP/scpd4_reduced.lp,0.616174,62.0,62.0,0.0,485,0,44,209,8927,4,1,1,3,5.0,100,0,1,0,0,8.092281
../Dataset/ReducedLP/scpd4_reduced.lp,0.645413,62.0,62.0,0.0,495,0,29,258,8957,4,1,1,3,5.0,100,0,1,0,0,7.0359
../Dataset/ReducedLP/scpd4_reduced.lp,0.662637,62.0,62.0,0.0,473,0,44,225,9397,4,1,1,3,5.0,100,0,1,0,0,6.914846000000001
