Instance,Time,Best Int.,Best Val.,MIP Gap,Nodes,Nodes Left,Constraint Branching,Varaible Branching,Seed,Threads,Callback,Branching,constraintBranchVer,delta,lookAhead,Reverse,RepeatedFirst,Sort,Average,PreprocessingPercentage
../Dataset/ReducedLP/scpnre2_reduced.lp,174.560724,30.0,30.0,0.0,456866,0,48161,231870,338,4,1,1,3,5.0,100,0,1,0,0,0.140531
../Dataset/ReducedLP/scpnre2_reduced.lp,131.58472700000002,30.0,30.0,0.0,339218,0,31722,202727,1867,4,1,1,3,5.0,100,0,1,0,0,0.18340499999999998
../Dataset/ReducedLP/scpnre2_reduced.lp,92.06846,30.0,30.0,0.0,230776,0,22318,138456,1997,4,1,1,3,5.0,100,0,1,0,0,0.263457
../Dataset/ReducedLP/scpnre2_reduced.lp,103.694247,30.0,30.0,0.0,260371,0,25750,157195,3363,4,1,1,3,5.0,100,0,1,0,0,0.236037
../Dataset/ReducedLP/scpnre2_reduced.lp,100.795694,30.0,30.0,0.0,264092,0,32429,151838,5538,4,1,1,3,5.0,100,0,1,0,0,0.246
../Dataset/ReducedLP/scpnre2_reduced.lp,98.67004,30.0,30.0,0.0,244340,0,21965,147231,6822,4,1,1,3,5.0,100,0,1,0,0,0.250535
../Dataset/ReducedLP/scpnre2_reduced.lp,139.99608899999998,30.0,30.0,0.0,356314,0,33385,205785,8007,4,1,1,3,5.0,100,0,1,0,0,0.173626
../Dataset/ReducedLP/scpnre2_reduced.lp,176.680116,30.0,30.0,0.0,503344,0,35546,250100,8927,4,1,1,3,5.0,100,0,1,0,0,0.13480899999999998
../Dataset/ReducedLP/scpnre2_reduced.lp,162.370405,30.0,30.0,0.0,416742,0,42673,225900,8957,4,1,1,3,5.0,100,0,1,0,0,0.14765799999999998
../Dataset/ReducedLP/scpnre2_reduced.lp,131.60153799999998,30.0,30.0,0.0,330777,0,30857,191316,9397,4,1,1,3,5.0,100,0,1,0,0,0.182806
