2,CPLEX Default,α = 5.0 λ = 100
../Dataset/ReducedLP/scpb2_reduced.lp,499,529
../Dataset/ReducedLP/scpb2_reduced.lp,495,448
../Dataset/ReducedLP/scpb2_reduced.lp,450,444
../Dataset/ReducedLP/scpb2_reduced.lp,652,526
../Dataset/ReducedLP/scpb2_reduced.lp,519,539
../Dataset/ReducedLP/scpb2_reduced.lp,474,515
../Dataset/ReducedLP/scpb2_reduced.lp,443,536
../Dataset/ReducedLP/scpb2_reduced.lp,443,543
../Dataset/ReducedLP/scpb2_reduced.lp,430,523
../Dataset/ReducedLP/scpb2_reduced.lp,445,521
../Dataset/ReducedLP/scpb4_reduced.lp,630,690
../Dataset/ReducedLP/scpb4_reduced.lp,659,1066
../Dataset/ReducedLP/scpb4_reduced.lp,718,787
../Dataset/ReducedLP/scpb4_reduced.lp,752,741
../Dataset/ReducedLP/scpb4_reduced.lp,720,671
../Dataset/ReducedLP/scpb4_reduced.lp,741,686
../Dataset/ReducedLP/scpb4_reduced.lp,767,695
../Dataset/ReducedLP/scpb4_reduced.lp,673,672
../Dataset/ReducedLP/scpb4_reduced.lp,732,682
../Dataset/ReducedLP/scpb4_reduced.lp,657,603
../Dataset/ReducedLP/scpc2_reduced.lp,37,33
../Dataset/ReducedLP/scpc2_reduced.lp,134,98
../Dataset/ReducedLP/scpc2_reduced.lp,46,33
../Dataset/ReducedLP/scpc2_reduced.lp,36,25
../Dataset/ReducedLP/scpc2_reduced.lp,43,33
../Dataset/ReducedLP/scpc2_reduced.lp,43,34
../Dataset/ReducedLP/scpc2_reduced.lp,91,76
../Dataset/ReducedLP/scpc2_reduced.lp,37,33
../Dataset/ReducedLP/scpc2_reduced.lp,90,74
../Dataset/ReducedLP/scpc2_reduced.lp,88,83
../Dataset/ReducedLP/scpc3_reduced.lp,173,150
../Dataset/ReducedLP/scpc3_reduced.lp,229,166
../Dataset/ReducedLP/scpc3_reduced.lp,195,157
../Dataset/ReducedLP/scpc3_reduced.lp,176,144
../Dataset/ReducedLP/scpc3_reduced.lp,275,179
../Dataset/ReducedLP/scpc3_reduced.lp,179,228
../Dataset/ReducedLP/scpc3_reduced.lp,195,164
../Dataset/ReducedLP/scpc3_reduced.lp,174,176
../Dataset/ReducedLP/scpc3_reduced.lp,213,212
../Dataset/ReducedLP/scpc3_reduced.lp,172,150
../Dataset/ReducedLP/scpclr10_reduced.lp,53828,60080
