4,CPLEX Default,par = 1.5,par = 2.0,par = 5.0
../Dataset/ReducedLP/scpb2_reduced.lp,0.616768,0.474477,0.4773689999999999,0.469819
../Dataset/ReducedLP/scpb2_reduced.lp,1.000925,1.234117,0.478936,0.481445
../Dataset/ReducedLP/scpb2_reduced.lp,0.450573,0.514282,0.507264,0.508258
../Dataset/ReducedLP/scpb2_reduced.lp,0.481875,1.158837,0.520551,0.525399
../Dataset/ReducedLP/scpb2_reduced.lp,0.4310350000000001,0.47455,0.483468,0.498082
../Dataset/ReducedLP/scpb2_reduced.lp,0.44146,0.885408,0.459819,0.488796
../Dataset/ReducedLP/scpb2_reduced.lp,0.435649,0.493672,0.507293,0.496471
../Dataset/ReducedLP/scpb2_reduced.lp,0.424886,0.472181,0.471892,0.474782
../Dataset/ReducedLP/scpb2_reduced.lp,0.425633,0.486296,0.4809020000000001,0.470965
../Dataset/ReducedLP/scpb2_reduced.lp,0.45757,0.5067560000000001,0.506009,0.498318
../Dataset/ReducedLP/scpb4_reduced.lp,0.829728,0.557199,0.557233,0.573088
../Dataset/ReducedLP/scpb4_reduced.lp,1.277725,1.147534,0.60588,0.606735
../Dataset/ReducedLP/scpb4_reduced.lp,0.539676,0.644083,0.685528,0.671962
../Dataset/ReducedLP/scpb4_reduced.lp,0.483579,0.985791,0.5452130000000001,0.5363180000000001
../Dataset/ReducedLP/scpb4_reduced.lp,0.502796,0.6927220000000001,0.5959979999999999,0.58577
../Dataset/ReducedLP/scpb4_reduced.lp,0.491766,1.03262,0.547139,0.5713560000000001
../Dataset/ReducedLP/scpb4_reduced.lp,0.503378,0.545721,0.545603,0.556813
../Dataset/ReducedLP/scpb4_reduced.lp,0.456712,0.576324,0.545894,0.5306930000000001
../Dataset/ReducedLP/scpb4_reduced.lp,0.488557,0.541535,0.546535,0.553072
../Dataset/ReducedLP/scpb4_reduced.lp,0.517469,0.577555,0.582623,0.578345
../Dataset/ReducedLP/scpc2_reduced.lp,0.967596,0.361591,0.362718,0.360848
../Dataset/ReducedLP/scpc2_reduced.lp,0.97803,1.31179,0.384999,0.3844
../Dataset/ReducedLP/scpc2_reduced.lp,0.354241,0.365727,0.360866,0.358745
../Dataset/ReducedLP/scpc2_reduced.lp,0.318048,0.408653,0.33302,0.337447
../Dataset/ReducedLP/scpc2_reduced.lp,0.351648,0.35846300000000003,0.35777600000000004,0.357377
../Dataset/ReducedLP/scpc2_reduced.lp,0.366934,0.6837409999999999,0.363372,0.36295
