Instance,Time,Best Int.,Best Val.,MIP Gap,Nodes,Nodes Left,Constraint Branching,Varaible Branching,Seed,Threads,Callback,Branching,constraintBranchVer,delta,lookAhead,Reverse,RepeatedFirst,Sort,Average,PreprocessingPercentage
../Dataset/ReducedLP/scpb4_reduced.lp,0.573088,79.0,79.0,0.0,660,0,40,300,338,4,1,1,3,5.0,2147483647,0,0,0,0,6.446047
../Dataset/ReducedLP/scpb4_reduced.lp,0.606735,79.0,79.0,0.0,761,0,29,430,1867,4,1,1,3,5.0,2147483647,0,0,0,0,5.167787000000001
../Dataset/ReducedLP/scpb4_reduced.lp,0.671962,79.0,79.0,0.0,933,0,47,514,1997,4,1,1,3,5.0,2147483647,0,0,0,0,4.45688
../Dataset/ReducedLP/scpb4_reduced.lp,0.5363180000000001,79.0,79.0,0.0,611,0,31,294,3363,4,1,1,3,5.0,2147483647,0,0,0,0,5.7177169999999995
../Dataset/ReducedLP/scpb4_reduced.lp,0.58577,79.0,79.0,0.0,707,0,28,362,5538,4,1,1,3,5.0,2147483647,0,0,0,0,5.461579
../Dataset/ReducedLP/scpb4_reduced.lp,0.5713560000000001,79.0,79.0,0.0,733,0,45,335,6822,4,1,1,3,5.0,2147483647,0,0,0,0,5.457016
../Dataset/ReducedLP/scpb4_reduced.lp,0.556813,79.0,79.0,0.0,629,0,40,290,8007,4,1,1,3,5.0,2147483647,0,0,0,0,6.156292
../Dataset/ReducedLP/scpb4_reduced.lp,0.5306930000000001,79.0,79.0,0.0,659,0,48,299,8927,4,1,1,3,5.0,2147483647,0,0,0,0,5.881194
../Dataset/ReducedLP/scpb4_reduced.lp,0.553072,79.0,79.0,0.0,673,0,48,295,8957,4,1,1,3,5.0,2147483647,0,0,0,0,6.010325
../Dataset/ReducedLP/scpb4_reduced.lp,0.578345,79.0,79.0,0.0,592,0,35,274,9397,4,1,1,3,5.0,2147483647,0,0,0,0,5.347486
