Instance,Time,Best Int.,Best Val.,MIP Gap,Nodes,Nodes Left,Constraint Branching,Varaible Branching,Seed,Threads,Callback,Branching,constraintBranchVer,delta,lookAhead,Reverse,RepeatedFirst,Sort,Average,PreprocessingPercentage
../Dataset/ReducedLP/scpnrg1_reduced.lp,3602.129914,176.000000,173.442853,0.014529,1009397,346449,48071,640472,1867,4,1,1,3,5.0,100,0,0,2,1,0.033774
../Dataset/ReducedLP/scpnrg1_reduced.lp,3601.348842,176.000000,174.786323,0.006896,2344372,39845,72675,1138026,3363,4,1,1,3,5.0,100,0,0,2,1,0.017521
../Dataset/ReducedLP/scpnrg1_reduced.lp,3601.357529,176.000000,174.070371,0.010964,2067802,412423,89750,1165287,6822,4,1,1,3,5.0,100,0,0,2,1,0.017707
../Dataset/ReducedLP/scpnrg1_reduced.lp,3601.376332,176.000000,174.407656,0.009047,2232423,257917,97727,1163355,8927,4,1,1,3,5.0,100,0,0,2,1,0.017625
../Dataset/ReducedLP/scpnrg1_reduced.lp,3601.395879,176.000000,174.684057,0.007477,2184053,66539,102622,1035928,9397,4,1,1,3,5.0,100,0,0,2,1,0.017597
../Dataset/ReducedLP/scpnrg1_reduced.lp,3603.738445,176.000000,173.281680,0.015445,1979700,799219,117999,1291818,338,4,1,1,3,5.0,100,0,0,2,1,0.017545
../Dataset/ReducedLP/scpnrg1_reduced.lp,3281.676164,176.000000,176.000000,0.000000,2196808,0,60848,1052230,1997,4,1,1,3,5.0,100,0,0,2,1,0.019347
../Dataset/ReducedLP/scpnrg1_reduced.lp,3493.642675,176.000000,176.000000,0.000000,2280191,0,76845,1078033,5538,4,1,1,3,5.0,100,0,0,2,1,0.018283
../Dataset/ReducedLP/scpnrg1_reduced.lp,3600.650729,176.000000,173.948697,0.011655,2076006,485114,89508,1217324,8007,4,1,1,3,5.0,100,0,0,2,1,0.017839
../Dataset/ReducedLP/scpnrg1_reduced.lp,3517.998216,176.000000,176.000000,0.000000,2219925,0,84288,1041486,8957,4,1,1,3,5.0,100,0,0,2,1,0.018138
