Instance,Time,Best Int.,Best Val.,MIP Gap,Nodes,Nodes Left,Constraint Branching,Varaible Branching,Seed,Threads,Callback,Branching,constraintBranchVer,delta,lookAhead,Reverse,RepeatedFirst,Sort,Average,PreprocessingPercentage
../Dataset/ReducedLP/scpb4_reduced.lp,0.611132,79.000000,79.000000,0.000000,1066,0,38,592,1867,4,1,1,3,5.0,100,0,1,1,1,5.994161
../Dataset/ReducedLP/scpb4_reduced.lp,0.522717,79.000000,79.000000,0.000000,741,0,58,333,3363,4,1,1,3,5.0,100,0,1,1,1,6.973817
../Dataset/ReducedLP/scpb4_reduced.lp,0.524223,79.000000,79.000000,0.000000,686,0,36,318,6822,4,1,1,3,5.0,100,0,1,1,1,6.854479
../Dataset/ReducedLP/scpb4_reduced.lp,0.500599,79.000000,79.000000,0.000000,672,0,45,314,8927,4,1,1,3,5.0,100,0,1,1,1,7.660642
../Dataset/ReducedLP/scpb4_reduced.lp,0.547673,79.000000,79.000000,0.000000,603,0,38,274,9397,4,1,1,3,5.0,100,0,1,1,1,5.857621
../Dataset/ReducedLP/scpb4_reduced.lp,0.519129,79.000000,79.000000,0.000000,690,0,33,323,338,4,1,1,3,5.0,100,0,1,1,1,6.466749
../Dataset/ReducedLP/scpb4_reduced.lp,0.585332,79.000000,79.000000,0.000000,787,0,32,422,1997,4,1,1,3,5.0,100,0,1,1,1,6.047888
../Dataset/ReducedLP/scpb4_reduced.lp,0.536916,79.000000,79.000000,0.000000,671,0,17,353,5538,4,1,1,3,5.0,100,0,1,1,1,6.784104
../Dataset/ReducedLP/scpb4_reduced.lp,0.529454,79.000000,79.000000,0.000000,695,0,43,329,8007,4,1,1,3,5.0,100,0,1,1,1,6.764459
../Dataset/ReducedLP/scpb4_reduced.lp,0.515885,79.000000,79.000000,0.000000,682,0,48,306,8957,4,1,1,3,5.0,100,0,1,1,1,7.247521
