Instance,Time,Best Int.,Best Val.,MIP Gap,Nodes,Nodes Left,Constraint Branching,Varaible Branching,Seed,Threads,Callback,Branching,constraintBranchVer,delta,lookAhead,Reverse,RepeatedFirst,Sort,Average,PreprocessingPercentage
../Dataset/ReducedLP/scpclr11_reduced.lp,1729.154302,23.000000,23.000000,0.000000,818350,0,45261,367902,1867,4,1,1,3,5.0,100,1,0,2,1,0.017564
../Dataset/ReducedLP/scpclr11_reduced.lp,3362.529461,23.000000,23.000000,0.000000,849554,0,43350,385317,3363,4,1,1,3,5.0,100,1,0,2,1,0.017020
../Dataset/ReducedLP/scpclr11_reduced.lp,1396.660156,23.000000,23.000000,0.000000,704884,0,34140,329187,6822,4,1,1,3,5.0,100,1,0,2,1,0.021774
../Dataset/ReducedLP/scpclr11_reduced.lp,1776.767877,23.000000,23.000000,0.000000,849972,0,60193,369347,8927,4,1,1,3,5.0,100,1,0,2,1,0.017082
../Dataset/ReducedLP/scpclr11_reduced.lp,1430.626994,23.000000,23.000000,0.000000,692689,0,38594,312763,9397,4,1,1,3,5.0,100,1,0,2,1,0.021116
../Dataset/ReducedLP/scpclr11_reduced.lp,1823.410722,23.000000,23.000000,0.000000,908025,0,45972,412428,338,4,1,1,3,5.0,100,1,0,2,1,0.016757
../Dataset/ReducedLP/scpclr11_reduced.lp,1910.135901,23.000000,23.000000,0.000000,938487,0,70252,403419,1997,4,1,1,3,5.0,100,1,0,2,1,0.015848
../Dataset/ReducedLP/scpclr11_reduced.lp,1497.391082,23.000000,23.000000,0.000000,725508,0,55792,320074,5538,4,1,1,3,5.0,100,1,0,2,1,0.020500
../Dataset/ReducedLP/scpclr11_reduced.lp,1624.788920,23.000000,23.000000,0.000000,779719,0,38302,369317,8007,4,1,1,3,5.0,100,1,0,2,1,0.018777
../Dataset/ReducedLP/scpclr11_reduced.lp,1474.442181,23.000000,23.000000,0.000000,767592,0,40110,374000,8957,4,1,1,3,5.0,100,1,0,2,1,0.021006
