13,CPLEX Default,lunghezza crescente,score reduced costs somma crescente,score reduced costs medio crescente,lunghezza crescente duplicati in cima,score reduced costs somma crescente duplicati in cima,score reduced costs medio crescente duplicati in cima,lunghezza decrescente,score reduced costs somma decrescente,score reduced costs medio decrescente,lunghezza decrescente duplicati in cima,score reduced costs somma decrescente duplicati in cima,score reduced costs medio decrescente duplicati in cima
../Dataset/ReducedLP/scpb2_reduced.lp,495,465,446,446,448,448,448,477,425,430,471,471,471
../Dataset/ReducedLP/scpb2_reduced.lp,652,584,560,560,526,526,526,545,543,536,576,576,576
../Dataset/ReducedLP/scpb2_reduced.lp,474,475,449,449,515,515,515,426,446,425,448,448,448
../Dataset/ReducedLP/scpb2_reduced.lp,443,500,470,470,543,543,543,520,454,443,520,520,520
../Dataset/ReducedLP/scpb2_reduced.lp,445,478,456,456,521,521,521,493,388,476,436,436,436
../Dataset/ReducedLP/scpb2_reduced.lp,499,524,488,488,529,529,529,547,506,523,487,487,487
../Dataset/ReducedLP/scpb2_reduced.lp,450,477,532,532,444,444,444,387,546,463,431,431,431
../Dataset/ReducedLP/scpb2_reduced.lp,519,536,484,484,539,539,539,458,436,436,472,472,472
../Dataset/ReducedLP/scpb2_reduced.lp,443,493,489,489,536,536,536,516,537,492,518,518,518
../Dataset/ReducedLP/scpb2_reduced.lp,430,441,448,448,523,523,523,457,471,421,484,484,484
../Dataset/ReducedLP/scpb4_reduced.lp,659,722,697,697,1066,1066,1066,620,637,1220,796,796,796
../Dataset/ReducedLP/scpb4_reduced.lp,752,928,661,661,741,741,741,677,720,972,680,680,680
../Dataset/ReducedLP/scpb4_reduced.lp,741,674,666,666,686,686,686,666,652,699,641,641,641
../Dataset/ReducedLP/scpb4_reduced.lp,673,756,693,693,672,672,672,711,843,750,649,649,649
../Dataset/ReducedLP/scpb4_reduced.lp,657,641,650,650,603,603,603,622,642,649,614,614,614
../Dataset/ReducedLP/scpb4_reduced.lp,630,732,640,640,690,690,690,596,615,642,683,683,683
../Dataset/ReducedLP/scpb4_reduced.lp,718,747,723,723,787,787,787,710,742,704,722,722,722
../Dataset/ReducedLP/scpb4_reduced.lp,720,716,716,716,671,671,671,673,763,648,725,725,725
../Dataset/ReducedLP/scpb4_reduced.lp,767,647,666,666,695,695,695,608,685,636,693,693,693
../Dataset/ReducedLP/scpb4_reduced.lp,732,712,610,610,682,682,682,625,595,621,640,640,640
../Dataset/ReducedLP/scpc2_reduced.lp,134,122,116,116,98,110,110,94,92,92,98,92,92
../Dataset/ReducedLP/scpc2_reduced.lp,36,51,27,27,25,25,25,35,21,21,27,21,21
../Dataset/ReducedLP/scpc2_reduced.lp,43,37,31,31,34,31,31,32,29,29,34,33,34
../Dataset/ReducedLP/scpc2_reduced.lp,37,37,35,35,33,30,30,35,31,31,33,31,31
../Dataset/ReducedLP/scpc2_reduced.lp,88,84,73,73,83,82,82,77,69,77,80,66,66
../Dataset/ReducedLP/scpc2_reduced.lp,37,44,28,28,33,30,30,33,33,31,33,31,31
../Dataset/ReducedLP/scpc2_reduced.lp,46,38,34,34,33,33,33,33,34,34,33,35,35
../Dataset/ReducedLP/scpc2_reduced.lp,43,39,28,28,33,29,29,37,35,35,33,29,29
../Dataset/ReducedLP/scpc2_reduced.lp,91,63,80,80,76,69,69,67,64,71,79,67,67
../Dataset/ReducedLP/scpc2_reduced.lp,90,98,72,72,74,72,72,77,68,79,76,68,67
../Dataset/ReducedLP/scpc3_reduced.lp,229,172,165,167,166,242,242,173,217,217,166,211,211
../Dataset/ReducedLP/scpc3_reduced.lp,176,140,149,149,144,148,148,146,143,143,140,133,138
../Dataset/ReducedLP/scpc3_reduced.lp,179,181,233,233,228,196,196,181,173,173,220,178,184
../Dataset/ReducedLP/scpc3_reduced.lp,174,154,154,154,176,155,155,147,141,141,130,152,155
../Dataset/ReducedLP/scpc3_reduced.lp,172,153,165,165,150,160,160,153,159,159,155,159,163
../Dataset/ReducedLP/scpc3_reduced.lp,173,175,151,151,150,143,143,160,146,143,141,158,158
../Dataset/ReducedLP/scpc3_reduced.lp,195,169,183,183,157,181,181,154,178,166,153,178,174
../Dataset/ReducedLP/scpc3_reduced.lp,275,177,184,184,179,185,185,178,177,177,176,190,190
../Dataset/ReducedLP/scpc3_reduced.lp,195,242,204,204,164,169,169,157,149,157,164,153,161
../Dataset/ReducedLP/scpc3_reduced.lp,213,286,218,218,212,193,193,192,185,185,193,186,186
../Dataset/ReducedLP/scpclr10_reduced.lp,41118,36240,49893,49893,38954,38954,38954,59731,44871,42110,102795,102795,102795
../Dataset/ReducedLP/scpclr10_reduced.lp,30357,27267,28321,28321,26670,26670,26670,40389,32736,23755,84624,84624,84624
