Instance,Time,Best Int.,Best Val.,MIP Gap,Nodes,Nodes Left,Constraint Branching,Varaible Branching,Seed,Threads,Callback,Branching,constraintBranchVer,delta,lookAhead,Reverse,RepeatedFirst,Sort,Average,PreprocessingPercentage
../Dataset/ReducedLP/scpb2_reduced.lp,0.46397299999999997,76.0,76.0,0.0,524,0,43,242,338,4,1,1,3,5.0,100,0,0,0,0,5.932572
../Dataset/ReducedLP/scpb2_reduced.lp,1.191816,76.0,76.0,0.0,465,0,31,208,1867,4,1,1,3,5.0,100,0,0,0,0,22.58093
../Dataset/ReducedLP/scpb2_reduced.lp,0.47405600000000003,76.0,76.0,0.0,477,0,23,233,1997,4,1,1,3,5.0,100,0,0,0,0,5.541499
../Dataset/ReducedLP/scpb2_reduced.lp,0.49199,76.0,76.0,0.0,584,0,44,268,3363,4,1,1,3,5.0,100,0,0,0,0,6.014727
../Dataset/ReducedLP/scpb2_reduced.lp,0.461398,76.0,76.0,0.0,536,0,38,240,5538,4,1,1,3,5.0,100,0,0,0,0,5.864572
../Dataset/ReducedLP/scpb2_reduced.lp,0.46418999999999994,76.0,76.0,0.0,475,0,33,215,6822,4,1,1,3,5.0,100,0,0,0,0,6.078104
../Dataset/ReducedLP/scpb2_reduced.lp,0.48226,76.0,76.0,0.0,493,0,28,233,8007,4,1,1,3,5.0,100,0,0,0,0,5.615322
../Dataset/ReducedLP/scpb2_reduced.lp,0.45577,76.0,76.0,0.0,500,0,40,218,8927,4,1,1,3,5.0,100,0,0,0,0,6.023448
../Dataset/ReducedLP/scpb2_reduced.lp,0.558212,76.0,76.0,0.0,441,0,28,198,8957,4,1,1,3,5.0,100,0,0,0,0,4.020885
../Dataset/ReducedLP/scpb2_reduced.lp,0.485067,76.0,76.0,0.0,478,0,23,234,9397,4,1,1,3,5.0,100,0,0,0,0,6.138279
