Instance,Time,Best Int.,Best Val.,MIP Gap,Nodes,Nodes Left,Constraint Branching,Varaible Branching,Seed,Threads,Callback,Branching,constraintBranchVer,delta,lookAhead,Reverse,RepeatedFirst,Sort,Average,PreprocessingPercentage
../Dataset/ReducedLP/scpc2_reduced.lp,0.365385,219.0,219.0,0.0,31,0,9,6,338,4,1,1,3,5.0,100,1,0,2,1,5.35366
../Dataset/ReducedLP/scpc2_reduced.lp,0.374259,219.0,219.0,0.0,92,0,17,35,1867,4,1,1,3,5.0,100,1,0,2,1,5.227043
../Dataset/ReducedLP/scpc2_reduced.lp,0.37080599999999997,219.0,219.0,0.0,34,0,12,5,1997,4,1,1,3,5.0,100,1,0,2,1,6.195654
../Dataset/ReducedLP/scpc2_reduced.lp,0.340828,219.0,219.0,0.0,21,0,9,1,3363,4,1,1,3,5.0,100,1,0,2,1,6.41743
../Dataset/ReducedLP/scpc2_reduced.lp,0.37609499999999996,219.0,219.0,0.0,35,0,9,8,5538,4,1,1,3,5.0,100,1,0,2,1,6.0847489999999995
../Dataset/ReducedLP/scpc2_reduced.lp,0.37450700000000003,219.0,219.0,0.0,29,0,10,5,6822,4,1,1,3,5.0,100,1,0,2,1,5.618718
../Dataset/ReducedLP/scpc2_reduced.lp,0.373636,219.0,219.0,0.0,71,0,14,24,8007,4,1,1,3,5.0,100,1,0,2,1,5.403722
../Dataset/ReducedLP/scpc2_reduced.lp,0.363887,219.0,219.0,0.0,31,0,11,4,8927,4,1,1,3,5.0,100,1,0,2,1,5.771851
../Dataset/ReducedLP/scpc2_reduced.lp,0.366588,219.0,219.0,0.0,79,0,18,24,8957,4,1,1,3,5.0,100,1,0,2,1,6.266047
../Dataset/ReducedLP/scpc2_reduced.lp,0.37298200000000004,219.0,219.0,0.0,77,0,16,25,9397,4,1,1,3,5.0,100,1,0,2,1,5.147104
