Instance,Time,Best Int.,Best Val.,MIP Gap,Nodes,Nodes Left,Constraint Branching,Varaible Branching,Seed,Threads,Callback,Branching,constraintBranchVer,delta,lookAhead,Reverse,RepeatedFirst,Sort,Average,PreprocessingPercentage
../Dataset/ReducedLP/scpnrf2_reduced.lp,7.62028,15.0,15.0,0.0,19960,0,2491,7784,338,4,1,1,3,5.0,100,1,1,2,1,3.31711
../Dataset/ReducedLP/scpnrf2_reduced.lp,7.968443,15.0,15.0,0.0,22855,0,2313,9524,1867,4,1,1,3,5.0,100,1,1,2,1,3.144614
../Dataset/ReducedLP/scpnrf2_reduced.lp,8.274295,15.0,15.0,0.0,20773,0,2236,8482,1997,4,1,1,3,5.0,100,1,1,2,1,3.045375
../Dataset/ReducedLP/scpnrf2_reduced.lp,7.737867999999999,15.0,15.0,0.0,21478,0,2280,8799,3363,4,1,1,3,5.0,100,1,1,2,1,3.221622
../Dataset/ReducedLP/scpnrf2_reduced.lp,6.639378,15.0,15.0,0.0,16384,0,1533,6943,5538,4,1,1,3,5.0,100,1,1,2,1,3.766776
../Dataset/ReducedLP/scpnrf2_reduced.lp,7.896366,15.0,15.0,0.0,21644,0,2862,8269,6822,4,1,1,3,5.0,100,1,1,2,1,3.2082319999999998
../Dataset/ReducedLP/scpnrf2_reduced.lp,6.8878330000000005,15.0,15.0,0.0,18445,0,1896,7609,8007,4,1,1,3,5.0,100,1,1,2,1,3.6676830000000002
../Dataset/ReducedLP/scpnrf2_reduced.lp,7.032305,15.0,15.0,0.0,17866,0,1961,7264,8927,4,1,1,3,5.0,100,1,1,2,1,3.5694410000000003
../Dataset/ReducedLP/scpnrf2_reduced.lp,7.516863000000001,15.0,15.0,0.0,20267,0,1854,8648,8957,4,1,1,3,5.0,100,1,1,2,1,3.3335739999999996
../Dataset/ReducedLP/scpnrf2_reduced.lp,7.421724,15.0,15.0,0.0,18503,0,1894,7657,9397,4,1,1,3,5.0,100,1,1,2,1,3.4464589999999995
