Instance,Time,Best Int.,Best Val.,MIP Gap,Nodes,Nodes Left,Constraint Branching,Varaible Branching,Seed,Threads,Callback,Branching,constraintBranchVer,delta,lookAhead,Reverse,RepeatedFirst,Sort,Average,PreprocessingPercentage
../Dataset/ReducedLP/scpb2_reduced.lp,0.481324,76.000000,76.000000,0.000000,461,0,37,199,1867,4,1,1,3,1.5,50,0,1,2,1,6.336899
../Dataset/ReducedLP/scpb2_reduced.lp,0.521283,76.000000,76.000000,0.000000,632,0,73,257,3363,4,1,1,3,1.5,50,0,1,2,1,5.116848
../Dataset/ReducedLP/scpb2_reduced.lp,0.475001,76.000000,76.000000,0.000000,494,0,45,209,6822,4,1,1,3,1.5,50,0,1,2,1,5.453260
../Dataset/ReducedLP/scpb2_reduced.lp,0.481330,76.000000,76.000000,0.000000,529,0,48,229,8927,4,1,1,3,1.5,50,0,1,2,1,6.092068
../Dataset/ReducedLP/scpb2_reduced.lp,0.499898,76.000000,76.000000,0.000000,490,0,31,234,9397,4,1,1,3,1.5,50,0,1,2,1,5.651382
../Dataset/ReducedLP/scpb2_reduced.lp,0.474570,76.000000,76.000000,0.000000,554,0,55,238,338,4,1,1,3,1.5,50,0,1,2,1,5.501471
../Dataset/ReducedLP/scpb2_reduced.lp,0.477326,76.000000,76.000000,0.000000,432,0,26,210,1997,4,1,1,3,1.5,50,0,1,2,1,6.356291
../Dataset/ReducedLP/scpb2_reduced.lp,0.479571,76.000000,76.000000,0.000000,536,0,56,222,5538,4,1,1,3,1.5,50,0,1,2,1,5.870290
../Dataset/ReducedLP/scpb2_reduced.lp,0.969834,76.000000,76.000000,0.000000,528,0,52,220,8007,4,1,1,3,1.5,50,0,1,2,1,33.423858
../Dataset/ReducedLP/scpb2_reduced.lp,0.498700,76.000000,76.000000,0.000000,537,0,67,211,8957,4,1,1,3,1.5,50,0,1,2,1,5.156256
