Instance,Time,Best Int.,Best Val.,MIP Gap,Nodes,Nodes Left,Constraint Branching,Varaible Branching,Seed,Threads,Callback,Branching,constraintBranchVer,delta,lookAhead,Reverse,RepeatedFirst,Sort,Average,PreprocessingPercentage
../Dataset/ReducedLP/scpc2_reduced.lp,0.379903,219.000000,219.000000,0.000000,99,0,14,41,1867,4,1,1,3,1.5,50,1,1,2,0,5.409134
../Dataset/ReducedLP/scpc2_reduced.lp,0.340011,219.000000,219.000000,0.000000,23,0,9,2,3363,4,1,1,3,1.5,50,1,1,2,0,6.387754
../Dataset/ReducedLP/scpc2_reduced.lp,0.381103,219.000000,219.000000,0.000000,34,0,10,8,6822,4,1,1,3,1.5,50,1,1,2,0,5.343110
../Dataset/ReducedLP/scpc2_reduced.lp,0.359616,219.000000,219.000000,0.000000,31,0,10,5,8927,4,1,1,3,1.5,50,1,1,2,0,5.423946
../Dataset/ReducedLP/scpc2_reduced.lp,0.362794,219.000000,219.000000,0.000000,70,0,14,24,9397,4,1,1,3,1.5,50,1,1,2,0,5.497265
../Dataset/ReducedLP/scpc2_reduced.lp,0.365038,219.000000,219.000000,0.000000,33,0,9,7,338,4,1,1,3,1.5,50,1,1,2,0,4.944393
../Dataset/ReducedLP/scpc2_reduced.lp,0.361472,219.000000,219.000000,0.000000,35,0,10,7,1997,4,1,1,3,1.5,50,1,1,2,0,5.373326
../Dataset/ReducedLP/scpc2_reduced.lp,0.369055,219.000000,219.000000,0.000000,31,0,8,8,5538,4,1,1,3,1.5,50,1,1,2,0,5.638338
../Dataset/ReducedLP/scpc2_reduced.lp,0.366555,219.000000,219.000000,0.000000,74,0,14,25,8007,4,1,1,3,1.5,50,1,1,2,0,6.047358
../Dataset/ReducedLP/scpc2_reduced.lp,0.357770,219.000000,219.000000,0.000000,71,0,15,23,8957,4,1,1,3,1.5,50,1,1,2,0,6.233071
