11,CPLEX Default,lunghezza crescente,score reduced costs somma crescente,score reduced costs medio crescente,lunghezza crescente duplicati in cima,score reduced costs somma crescente duplicati in cima,score reduced costs medio crescente duplicati in cima,score reduced costs somma decrescente,score reduced costs medio decrescente,score reduced costs somma decrescente duplicati in cima,score reduced costs medio decrescente duplicati in cima
../Dataset/ReducedLP/scpb2_reduced.lp,495,450,428,428,461,461,461,429,404,415,415
../Dataset/ReducedLP/scpb2_reduced.lp,652,627,558,558,632,632,632,522,519,534,534
../Dataset/ReducedLP/scpb2_reduced.lp,474,422,426,426,494,494,494,383,396,463,463
../Dataset/ReducedLP/scpb2_reduced.lp,443,569,445,445,529,529,529,465,452,470,470
../Dataset/ReducedLP/scpb2_reduced.lp,445,480,472,472,490,490,490,435,439,468,468
../Dataset/ReducedLP/scpb2_reduced.lp,499,518,492,492,554,554,554,421,492,483,483
../Dataset/ReducedLP/scpb2_reduced.lp,450,557,555,555,432,432,432,432,452,507,507
../Dataset/ReducedLP/scpb2_reduced.lp,519,491,422,422,536,536,536,476,457,469,469
../Dataset/ReducedLP/scpb2_reduced.lp,443,474,462,462,528,528,528,463,450,463,463
../Dataset/ReducedLP/scpb2_reduced.lp,430,478,460,460,537,537,537,422,414,448,448
../Dataset/ReducedLP/scpb4_reduced.lp,659,657,827,827,634,634,634,581,561,953,953
../Dataset/ReducedLP/scpb4_reduced.lp,752,704,720,720,682,682,682,654,655,668,668
../Dataset/ReducedLP/scpb4_reduced.lp,741,730,711,711,655,655,655,617,618,621,621
../Dataset/ReducedLP/scpb4_reduced.lp,673,778,745,745,655,655,655,729,650,650,650
../Dataset/ReducedLP/scpb4_reduced.lp,657,672,646,646,657,657,657,653,614,579,579
../Dataset/ReducedLP/scpb4_reduced.lp,630,731,666,666,701,701,701,642,597,650,650
../Dataset/ReducedLP/scpb4_reduced.lp,718,806,802,802,779,779,779,843,673,688,688
../Dataset/ReducedLP/scpb4_reduced.lp,720,740,692,692,661,661,661,628,648,731,731
../Dataset/ReducedLP/scpb4_reduced.lp,767,732,663,663,667,667,667,660,594,601,601
../Dataset/ReducedLP/scpb4_reduced.lp,732,658,639,639,704,704,704,624,598,661,661
../Dataset/ReducedLP/scpc2_reduced.lp,134,132,138,138,98,97,97,99,99,99,99
../Dataset/ReducedLP/scpc2_reduced.lp,36,61,21,21,27,23,23,29,21,23,23
../Dataset/ReducedLP/scpc2_reduced.lp,43,49,33,33,34,31,31,30,34,34,34
../Dataset/ReducedLP/scpc2_reduced.lp,37,51,33,33,33,30,30,33,31,31,31
../Dataset/ReducedLP/scpc2_reduced.lp,88,79,63,63,82,67,67,69,70,70,70
../Dataset/ReducedLP/scpc2_reduced.lp,37,52,31,31,33,30,30,36,33,33,33
../Dataset/ReducedLP/scpc2_reduced.lp,46,50,34,34,33,33,33,33,37,35,35
../Dataset/ReducedLP/scpc2_reduced.lp,43,45,29,29,33,29,29,31,35,31,31
../Dataset/ReducedLP/scpc2_reduced.lp,91,102,61,61,76,58,58,63,73,74,74
../Dataset/ReducedLP/scpc2_reduced.lp,90,96,72,72,76,73,73,67,71,71,71
../Dataset/ReducedLP/scpc3_reduced.lp,229,181,201,201,163,157,157,191,176,188,212
../Dataset/ReducedLP/scpc3_reduced.lp,176,161,151,151,135,148,148,159,153,134,132
../Dataset/ReducedLP/scpc3_reduced.lp,179,249,253,253,215,237,237,191,171,179,167
../Dataset/ReducedLP/scpc3_reduced.lp,174,194,152,152,134,155,159,155,148,143,141
../Dataset/ReducedLP/scpc3_reduced.lp,172,172,174,174,152,162,162,152,150,162,154
../Dataset/ReducedLP/scpc3_reduced.lp,173,191,146,146,142,140,140,143,140,145,152
../Dataset/ReducedLP/scpc3_reduced.lp,195,197,178,178,151,176,176,136,163,154,158
../Dataset/ReducedLP/scpc3_reduced.lp,275,201,193,193,176,182,182,163,171,183,185
../Dataset/ReducedLP/scpc3_reduced.lp,195,227,205,205,163,168,168,155,157,158,161
../Dataset/ReducedLP/scpc3_reduced.lp,213,182,194,191,199,189,189,186,181,181,187
