Instance,Time,Best Int.,Best Val.,MIP Gap,Nodes,Nodes Left,Constraint Branching,Varaible Branching,Seed,Threads,Callback,Branching,constraintBranchVer,delta,lookAhead,Reverse,RepeatedFirst,Sort,Average,PreprocessingPercentage
../Dataset/ReducedLP/scpnrf5_reduced.lp,87.127418,13.0,13.0,0.0,265415,0,90828,87141,338,4,1,1,3,1.5,50,0,1,0,0,0.330127
../Dataset/ReducedLP/scpnrf5_reduced.lp,39.003616,13.0,13.0,0.0,100092,0,37839,33837,1867,4,1,1,3,1.5,50,0,1,0,0,0.728128
../Dataset/ReducedLP/scpnrf5_reduced.lp,107.518874,13.0,13.0,0.0,308895,0,102671,94171,1997,4,1,1,3,1.5,50,0,1,0,0,0.267422
../Dataset/ReducedLP/scpnrf5_reduced.lp,35.602823,13.0,13.0,0.0,89090,0,32196,31824,3363,4,1,1,3,1.5,50,0,1,0,0,0.805131
../Dataset/ReducedLP/scpnrf5_reduced.lp,29.576957,13.0,13.0,0.0,71385,0,22666,26560,5538,4,1,1,3,1.5,50,0,1,0,0,0.97122
../Dataset/ReducedLP/scpnrf5_reduced.lp,35.937829,13.0,13.0,0.0,90492,0,32733,32164,6822,4,1,1,3,1.5,50,0,1,0,0,0.801295
../Dataset/ReducedLP/scpnrf5_reduced.lp,120.398849,13.0,13.0,0.0,348787,0,108950,94852,8007,4,1,1,3,1.5,50,0,1,0,0,0.234951
../Dataset/ReducedLP/scpnrf5_reduced.lp,34.59401,13.0,13.0,0.0,84957,0,31266,29467,8927,4,1,1,3,1.5,50,0,1,0,0,0.817195
../Dataset/ReducedLP/scpnrf5_reduced.lp,27.825642,13.0,13.0,0.0,70708,0,24187,24456,8957,4,1,1,3,1.5,50,0,1,0,0,1.016873
../Dataset/ReducedLP/scpnrf5_reduced.lp,16.159817,13.0,13.0,0.0,36513,0,8869,9802,9397,4,1,1,3,1.5,50,0,1,0,0,1.75561
