Instance,Time,Best Int.,Best Val.,MIP Gap,Nodes,Nodes Left,Constraint Branching,Varaible Branching,Seed,Threads,Callback,Branching,constraintBranchVer,delta,lookAhead,Reverse,RepeatedFirst,Sort,Average,PreprocessingPercentage
../Dataset/ReducedLP/scpb2_reduced.lp,0.481332,76.0,76.0,0.0,554,0,55,238,338,4,1,1,3,1.5,50,0,1,2,0,4.562874
../Dataset/ReducedLP/scpb2_reduced.lp,0.479159,76.0,76.0,0.0,461,0,37,199,1867,4,1,1,3,1.5,50,0,1,2,0,5.675751999999999
../Dataset/ReducedLP/scpb2_reduced.lp,0.47315100000000004,76.0,76.0,0.0,432,0,26,210,1997,4,1,1,3,1.5,50,0,1,2,0,5.333214
../Dataset/ReducedLP/scpb2_reduced.lp,0.527127,76.0,76.0,0.0,632,0,73,257,3363,4,1,1,3,1.5,50,0,1,2,0,5.616688
../Dataset/ReducedLP/scpb2_reduced.lp,0.478254,76.0,76.0,0.0,536,0,56,222,5538,4,1,1,3,1.5,50,0,1,2,0,5.6626080000000005
../Dataset/ReducedLP/scpb2_reduced.lp,0.473975,76.0,76.0,0.0,494,0,45,209,6822,4,1,1,3,1.5,50,0,1,2,0,5.292716
../Dataset/ReducedLP/scpb2_reduced.lp,0.975087,76.0,76.0,0.0,528,0,52,220,8007,4,1,1,3,1.5,50,0,1,2,0,33.944686
../Dataset/ReducedLP/scpb2_reduced.lp,0.47833100000000006,76.0,76.0,0.0,529,0,48,229,8927,4,1,1,3,1.5,50,0,1,2,0,5.583526
../Dataset/ReducedLP/scpb2_reduced.lp,0.502793,76.0,76.0,0.0,537,0,67,211,8957,4,1,1,3,1.5,50,0,1,2,0,5.746955000000001
../Dataset/ReducedLP/scpb2_reduced.lp,0.49868900000000005,76.0,76.0,0.0,490,0,31,234,9397,4,1,1,3,1.5,50,0,1,2,0,5.467647
