Instance,Time,Best Int.,Best Val.,MIP Gap,Nodes,Nodes Left,Constraint Branching,Varaible Branching,Seed,Threads,Callback,Branching,constraintBranchVer,delta,lookAhead,Reverse,RepeatedFirst,Sort,Average,PreprocessingPercentage
../Dataset/ReducedLP/scpnre4_reduced.lp,14.611642999999999,28.0,28.0,0.0,31406,0,6217,10049,338,4,1,1,3,1.5,50,1,1,2,0,1.455069
../Dataset/ReducedLP/scpnre4_reduced.lp,14.987395999999999,28.0,28.0,0.0,32810,0,5901,12024,1867,4,1,1,3,1.5,50,1,1,2,0,1.42319
../Dataset/ReducedLP/scpnre4_reduced.lp,48.497647,28.0,28.0,0.0,122417,0,29467,53589,1997,4,1,1,3,1.5,50,1,1,2,0,0.437496
../Dataset/ReducedLP/scpnre4_reduced.lp,18.652473,28.0,28.0,0.0,43600,0,7060,19263,3363,4,1,1,3,1.5,50,1,1,2,0,1.160258
../Dataset/ReducedLP/scpnre4_reduced.lp,29.957416,28.0,28.0,0.0,71892,0,15341,33634,5538,4,1,1,3,1.5,50,1,1,2,0,0.714938
../Dataset/ReducedLP/scpnre4_reduced.lp,26.974253000000004,28.0,28.0,0.0,67120,0,17451,26866,6822,4,1,1,3,1.5,50,1,1,2,0,0.8025399999999999
../Dataset/ReducedLP/scpnre4_reduced.lp,24.587563,28.0,28.0,0.0,58912,0,14867,23258,8007,4,1,1,3,1.5,50,1,1,2,0,0.880132
../Dataset/ReducedLP/scpnre4_reduced.lp,31.037685999999997,28.0,28.0,0.0,73260,0,16567,32989,8927,4,1,1,3,1.5,50,1,1,2,0,0.711021
../Dataset/ReducedLP/scpnre4_reduced.lp,29.366428000000003,28.0,28.0,0.0,72062,0,19608,27886,8957,4,1,1,3,1.5,50,1,1,2,0,0.7226020000000001
../Dataset/ReducedLP/scpnre4_reduced.lp,14.947666,28.0,28.0,0.0,33081,0,6628,10460,9397,4,1,1,3,1.5,50,1,1,2,0,1.42052
